date,line,time,day,location,incident,min_delay,min_gap,bound,day_type,rush_type,season,is_holiday,Year,Month,Day,Max Temp (°C),Min Temp (°C),Total Precip (mm),Snow on Grnd (cm)
2024-01-03,512,17:41:00,Wednesday,ST. CLAIR STATION,Operations,6,12,W,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,503,17:42:00,Wednesday,QUEEN AND JONES,Mechanical,10,20,E,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,17:44:00,Wednesday,RONCESVALLES AND QUEEN,Mechanical,10,20,S,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,17:46:00,Wednesday,BROADVIEW AND QUEEN,Utilized Off Route,4,0,E,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,18:16:00,Wednesday,HOWARD PARK AND RONCES,Cleaning - Unsanitary,10,20,S,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,503,18:41:00,Wednesday,CHARLOTTE LOOP,Operations,10,20,W,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,511,18:58:00,Wednesday,BATHURST STAION,Operations,40,50,N,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,19:02:00,Wednesday,BATHURST AND WILLIS,Utilized Off Route,5,10,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,19:35:00,Wednesday,BATHURST AND KING,Operations,10,20,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,503,20:41:00,Wednesday,QUEEN AND CARLAW,Security,10,20,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,507,20:52:00,Wednesday,LAKESHORE AND LEGION,Diversion,10,20,NA,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,21:00:00,Wednesday,358 QUEEN ST E,Security,10,20,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,21:18:00,Wednesday,DISTILLERY LOOP,Cleaning - Unsanitary,10,20,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,505,21:47:00,Wednesday,KINGSTON ROAD LOOP,Security,10,20,NA,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,21:51:00,Wednesday,KINGSTON LOOP,Security,10,20,NA,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,23:23:00,Wednesday,KING AND SUMACH,Operations,10,20,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,00:11:00,Wednesday,KING AND UNIVERSITY,Held By,7,17,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,509,00:33:00,Wednesday,QUEENS QUAY AND BATHUR,Mechanical,10,20,E,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,01:08:00,Wednesday,BROADVIEW AND QUEEN,Utilized Off Route,12,24,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,511,01:42:00,Wednesday,BATHURST AND HERRICK,Security,0,0,N,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,01:50:00,Wednesday,KINGSTON RD LOOP,Security,0,0,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-04,506,02:43:00,Thursday,DUNDAS AND RONCESVALLE,Diversion,46,66,W,Weekday,none,Winter,0,2024,01,04,1.8,-6,0,0
2024-01-04,600,03:27:00,Thursday,NEVILLE LOOP,Emergency Services,30,55,NA,Weekday,none,Winter,0,2024,01,04,1.8,-6,0,0
2024-01-04,504,04:30:00,Thursday,BROADVIEW STATION,Operations,6,12,NA,Weekday,none,Winter,0,2024,01,04,1.8,-6,0,0
2024-01-04,505,05:54:00,Thursday,DUNDAS AND OSSINGTON,Mechanical,10,20,E,Weekday,none,Winter,0,2024,01,04,1.8,-6,0,0
